Case,L.rate,Nr-HL1,RMSE,MAE,MAPE
1.0,0.001,30.0,7.158851146697998,4.742231845855713,14.026630401611328
2.0,0.001,40.0,61.452972412109375,53.97765350341797,100.0
3.0,0.001,50.0,61.452972412109375,53.97765350341797,100.0
4.0,0.001,60.0,6.9094672203063965,4.610472202301025,15.517510414123535
5.0,0.001,70.0,7.376564025878906,5.0947675704956055,15.216981887817383
6.0,0.005,30.0,9.135673522949219,5.761152267456055,18.534648895263672
7.0,0.005,40.0,8.0072603225708,5.274234294891357,17.134899139404297
8.0,0.005,50.0,7.12639045715332,4.355049133300781,15.475101470947266
9.0,0.005,60.0,12.381301879882812,8.910134315490723,25.385814666748047
10.0,0.005,70.0,61.452972412109375,53.97765350341797,100.0
11.0,0.01,30.0,61.452972412109375,53.97765350341797,100.0
12.0,0.01,40.0,61.452972412109375,53.97765350341797,100.0
13.0,0.01,50.0,61.452972412109375,53.97765350341797,100.0
14.0,0.01,60.0,61.452972412109375,53.97765350341797,100.0
15.0,0.01,70.0,61.452972412109375,53.97765350341797,100.0
