,P10
0,0.0010403136159999999
1,0.0013114322880000001
2,0.0005074684300000001
3,0.000755877598
4,0.0009444990099999999
5,0.0015248948311000002
6,0.0005262587359999999
7,0.0008596639308
8,0.001053950091
9,0.001342824562
10,0.0009190460755
11,0.0010688339282
12,0.001165468445
13,0.0011426404820000001
14,0.0007425916420000001
15,0.000739843177
16,0.001198014331
17,0.0005770503490000001
18,0.000584655965
19,0.0009917678564000001
20,0.0008556762770999999
21,0.000651323469
22,0.0007860947953
23,0.0009857873437999999
24,0.000961292225
25,0.0009123813030000001
26,0.001123838508
27,0.000806728778
28,0.0012145392427
29,0.000710009975
30,0.0010699669062
31,0.001298100312
32,0.0010492213909
33,0.0011963403629999998
34,0.0013356439191
35,0.0006758926320000001
36,0.0012795449309000002
37,0.0010334589702
38,0.0007764082099999999
39,0.001132603114
40,0.0011333144485999999
41,0.000830222125
42,0.001466815007
43,0.000873871588
44,0.0012967357511
45,0.0008583011225
46,0.0012982650254
47,0.0009105194963
48,0.001187318846
49,0.0008385697363
50,0.001074909039
51,0.000810712028
52,0.0007532069869999999
