NO,Thickness(mm),Weight(g/sqm),SurfaceRoughness(SMD),TensileStrength,Extension,BendingRigidity,Density,t_max (mm),t_min (mm),t_max percentage for Thickness,t_min percentage for Thickness,(t_max - t_min) percentage for Thickness,center deflection max(mm),center deflection min(mm),center deflection mean(mm),max deg L,min deg L,mean deg L,max deg R,min deg R,mean deg R
1,1.51,516.7,2.29,333,49.4,1.32,84,2.2,0.5,0.46,0.67,1.13,19.83,13.3,17.09,14.62,7.94,9.94,19.7,10.01,13.36
2,0.33,167.8,2.17,176,22.25,0.07,173,0.5,0.4,0.52,-0.21,0.3,50.78,44.21,47.5,37.44,33,35.22,50.04,46.66,48.35
3,0.96,304,1.97,225,205,0.06,102,1.4,0.8,0.46,0.17,0.63,34.18,28.32,30.36,61.34,47.91,52.02,62.61,43.41,51.78
4,0.45,248.5,2.31,373,36.35,0.12,175,0.7,0.4,0.56,0.11,0.67,28.72,24.21,27.14,44.54,38.26,41.77,64.69,57.03,60.43
5,0.38,169.6,7.02,173,34.35,0.05,137,0.5,0.3,0.32,0.21,0.53,18.89,15.9,17.78,60.26,37.37,45.92,19.44,13.71,16.46
6,0.93,309.7,4.61,437,37.9,0.54,149,1.5,0.6,0.61,0.35,0.97,22.92,9,13.91,74.32,-8.75,13.74,71.94,14.74,39.91
7,0.45,144.7,4.81,137,274,0.01,135,0.6,0.1,0.33,0.78,1.11,51.66,41.79,46.77,57.67,46.49,50.71,58.83,48.63,53.57
8,1.46,428.1,1.68,530.5,155,2.34,93,2.1,0.2,0.44,0.86,1.3,17.21,12.04,14.77,360,-2.69,37.66,12.34,5.57,8.4
9,0.9,417.2,1.06,302.5,257.5,0.54,194,1.5,0.4,0.67,0.56,1.22,20.95,12.65,15.12,55.45,8.9,35.66,53.41,28.84,41.8
10,0.66,232,11.38,172.5,22.3,0.13,211,0.8,0.5,0.21,0.24,0.45,26.15,17.96,20.91,41.19,21.43,26.68,39.16,36.36,37.8
11,0.41,186.4,6.14,380.5,68.2,0.02,87,0.6,0.4,0.46,0.02,0.49,48.61,46.89,47.75,45,37.67,42.41,48.06,43.63,46.04
14,0.29,191.7,5.79,832.5,41.4,0.3,140,0.5,0.4,0.72,-0.38,0.34,10,9.68,9.84,15.42,14.97,15.2,16.48,16.1,16.29
17,0.35,144.9,8.57,206.5,17.9,0.23,120,0.5,0.4,0.43,-0.14,0.29,7.22,5.85,6.54,15.95,12.6,14.27,1.91,1.27,1.59
18,0.76,270.8,12.87,437,17.35,0.24,116,1.1,0.5,0.45,0.34,0.79,18.29,15.85,17.35,16.96,10.78,13.78,36.87,22.19,31.53
19,0.49,125.6,7.06,284.5,11.65,0.3,129,0.7,0.6,0.43,-0.22,0.2,10.52,6.84,8.68,43.48,39.25,41.36,57.22,51.8,54.51
20,0.34,162.7,0.98,680.5,65.3,0.19,259,0.6,0.4,0.76,-0.18,0.59,32.82,29.31,30.76,54.78,49.01,51.78,68.82,57.69,62.19
21,0.2,69.4,3.61,194.5,53.95,0.01,187,0.3,0.2,0.5,0,0.5,79.1,66.08,72.59,50.27,49.05,49.66,57.4,54.19,55.8
22,0.3,144.8,2.51,248,262,0.02,194,0.6,0.4,1,-0.33,0.67,46.37,39.83,42.84,49.52,41.19,45.54,42.58,33.69,39.11
23,0.35,169.9,2.09,224,261.2,0.01,211,0.6,0.4,0.71,-0.14,0.57,50.77,36.31,41.44,55.78,48.37,51.26,52.07,49.4,51.03
24,0.35,185.1,1.68,241.5,270.4,0.08,211,0.7,0.4,1,-0.14,0.86,17.72,12.35,14.71,34.82,26.57,32.3,65.12,52.24,59.11
25,0.52,174,3.43,156,247,0.01,175,0.6,0.1,0.15,0.81,0.96,45.55,34.58,39.88,52.07,42.55,47.61,54.9,47.41,50.87
26,0.74,204.3,1.63,234.5,294.8,0.04,186,0.9,0.3,0.22,0.59,0.81,57.09,41.31,45.94,42.63,37,38.47,51.55,38.57,46.62
27,0.62,208.7,2.38,280,179.4,0.03,187,0.7,0.1,0.13,0.84,0.97,48.35,32.77,38.87,57.72,45.48,51.23,46.94,37,40.78
28,0.56,224.7,0.95,179,285.7,0.03,186,0.8,0.3,0.43,0.46,0.89,58.41,42.55,48.29,62.57,39.99,47.8,48.87,43.15,45.11
29,0.99,340.6,1.75,347.5,351.6,0.2,141,1.3,0.4,0.31,0.6,0.91,11.74,0.02,3.72,48.9,0.64,20.41,48.95,22.86,35.12
30,1.06,342.2,2.49,273,219.2,0.27,207,1.8,0.2,0.69,0.81,1.51,18.3,14.32,16.7,45.5,13.11,29.52,48.37,22.57,36.24
31,0.74,283.3,2.86,333,313.2,0.04,183,1.1,0.4,0.48,0.46,0.94,45.88,23.13,32.07,65.88,43.15,58.19,63.12,43.12,50.94
32,0.73,394.4,1.38,414,150.75,0.17,260,2.4,0.6,2.3,0.17,2.48,36.84,16.74,23.67,42.59,14.34,32.53,43.58,28.93,37.75
33,0.72,336.1,2.64,171,20.65,0.72,120,1,0.4,0.39,0.44,0.84,14.31,12.11,13.23,25.97,9.87,18.59,23.82,10.47,17.19
34,0.13,50.4,3.12,169.5,29.05,0.02,241,0.2,0.2,0.52,-0.52,0,30.84,30.84,30.84,34.47,34.47,34.47,45,45,45
35,0.36,126.2,8.78,155.9,42,0.03,132,0.5,0.3,0.38,0.17,0.55,70.83,58.73,63.88,57.93,48.11,51.66,56.12,42.58,51.35
36,0.39,184.2,11.39,216.5,24.95,0.08,95,0.6,0.4,0.55,-0.03,0.52,35.74,33.86,34.74,50.19,42.23,45.65,43.15,31.28,36.26
37,0.94,316.1,10.81,184.5,14.8,0.42,84,1.8,0.8,0.92,0.15,1.06,17.1,13.06,14.59,40.75,15.52,27.9,62.76,44.01,48.2
38,0.82,271,5.43,205,229.2,0.06,89,1.2,0.5,0.47,0.39,0.86,41.72,34.93,38.21,53,37.87,45.22,59.83,41.42,53.55
39,0.95,362,6.82,633.5,20.85,0.76,108,1.7,0.5,0.8,0.47,1.27,14.2,7.72,11.63,11.67,-6.82,3.97,20.49,8.05,12.77
40,0.94,411.2,5.75,732.5,26.3,2.47,120,1.5,0.9,0.6,0.04,0.64,13.96,12.03,13.07,38.85,30.34,32.83,19.89,14.35,16.68
